drug1,drug2,label
110,284,47
860,1070,70
56,98,20
325,354,47
856,220,54
179,183,71
74,962,60
551,497,49
892,1046,49
1035,172,73
1223,239,75
1255,98,47
518,512,16
492,596,49
72,1237,73
617,1298,49
490,945,49
739,241,73
891,899,49
746,1076,60
988,989,49
1270,115,49
289,76,49
1088,369,60
1281,413,49
792,54,49
993,1294,75
83,928,4
73,1179,4
1327,948,70
576,334,47
1540,323,70
646,239,47
563,641,49
1583,242,73
948,462,49
236,121,73
623,609,49
893,794,49
897,658,29
175,450,20
1066,1213,58
302,1364,73
641,313,47
1239,982,47
960,136,70
996,214,70
927,861,49
73,1359,73
791,377,49
478,50,49
168,155,53
187,1083,60
837,652,82
361,638,49
588,546,49
797,659,83
528,636,49
528,94,49
683,494,49
17,653,2
515,376,47
255,322,47
394,843,49
988,572,49
1270,154,49
546,292,47
1147,434,47
180,961,60
378,1402,73
98,506,49
290,1421,47
74,964,47
1064,300,47
1192,386,47
325,1206,14
336,947,49
565,426,54
428,987,49
77,800,4
973,925,60
62,811,3
98,252,47
774,671,73
445,519,16
187,618,49
481,495,49
468,395,47
1018,419,73
1146,312,47
648,1158,47
819,666,49
741,820,73
1284,530,70
608,59,49
845,639,37
513,484,49
750,876,21
67,819,3
795,1263,73
17,251,47
474,571,49
504,590,49
681,131,73
969,285,47
1012,1237,73
450,294,73
26,279,47
979,960,60
86,103,60
88,425,73
178,1085,60
116,1402,73
1145,247,47
447,446,16
1452,1327,67
196,298,47
877,900,49
1223,1205,75
321,247,47
860,809,49
655,283,47
576,251,47
436,884,37
871,1077,70
432,1267,14
693,390,47
234,1053,73
120,890,6
775,873,72
429,1208,14
508,1356,73
243,73,75
343,901,49
574,835,75
1201,307,47
1222,300,47
301,964,49
16,355,82
991,957,49
782,980,83
345,269,47
1059,1412,58
644,594,49
85,275,70
142,354,47
439,1253,14
506,1650,39
568,514,49
563,735,49
608,497,49
44,844,54
602,551,49
1103,257,47
3,979,70
1169,241,47
902,1089,70
505,594,49
572,747,49
691,321,49
351,1151,49
992,151,49
187,614,64
217,121,77
603,352,47
320,293,20
879,658,29
646,1077,49
147,382,73
108,572,5
506,1237,73
179,930,60
840,109,25
695,515,49
92,1197,75
636,484,49
771,283,47
